checking_status,credit_history,purpose,savings_status,employment,personal_status,other_parties,property_magnitude,other_payment_plans,housing,job,own_telephone,foreign_worker,installment_commitment,residence_since,age,existing_credits,duration,credit_amount,num_dependents,class
no checking,existing paid,furniture/equipment,<100,1<=X<4,female div/dep/mar,none,real estate,none,own,skilled,yes,yes,4,1,26,1,12,763,1,good
no checking,existing paid,business,100<=X<500,4<=X<7,male single,none,car,none,own,skilled,yes,yes,2,2,31,2,36,5742,1,good
0<=X<200,critical/other existing credit,radio/tv,100<=X<500,<1,male single,none,no known property,bank,own,skilled,none,yes,4,4,38,2,24,1216,2,bad
no checking,existing paid,radio/tv,<100,<1,female div/dep/mar,none,car,none,own,skilled,none,yes,4,3,34,1,12,1493,2,good
no checking,existing paid,education,<100,>=7,male single,none,car,bank,own,unskilled resident,none,yes,4,4,41,1,12,719,2,bad
no checking,existing paid,radio/tv,<100,1<=X<4,male single,none,real estate,bank,own,skilled,none,yes,4,2,30,2,12,707,1,good
no checking,critical/other existing credit,used car,<100,4<=X<7,male single,none,car,none,own,skilled,none,yes,3,1,27,2,18,3850,1,good
no checking,critical/other existing credit,radio/tv,>=1000,>=7,male single,none,car,none,own,skilled,none,yes,4,4,46,2,18,1582,1,good
0<=X<200,critical/other existing credit,radio/tv,<100,4<=X<7,male single,guarantor,real estate,none,own,skilled,none,yes,2,2,25,2,39,4933,1,bad
>=200,delayed previously,radio/tv,<100,<1,female div/dep/mar,none,life insurance,bank,own,skilled,none,yes,2,1,29,1,6,683,1,good
<0,existing paid,new car,no known savings,1<=X<4,male mar/wid,none,car,none,own,skilled,none,yes,4,2,23,1,12,900,1,bad
no checking,existing paid,new car,500<=X<1000,4<=X<7,female div/dep/mar,none,car,bank,own,high qualif/self emp/mgmt,none,yes,1,2,31,1,21,2782,1,good
0<=X<200,all paid,education,<100,4<=X<7,female div/dep/mar,none,no known property,bank,for free,unskilled resident,none,yes,4,4,34,1,24,1837,1,bad
0<=X<200,existing paid,new car,>=1000,>=7,male single,none,real estate,none,own,skilled,yes,yes,4,4,54,1,12,1318,1,good
<0,critical/other existing credit,new car,<100,<1,male single,none,real estate,none,own,unskilled resident,none,no,2,4,40,1,6,1361,2,good
0<=X<200,existing paid,used car,<100,>=7,female div/dep/mar,none,no known property,none,for free,high qualif/self emp/mgmt,yes,yes,4,2,44,1,24,12579,1,bad
<0,existing paid,radio/tv,500<=X<1000,>=7,male mar/wid,none,real estate,none,own,skilled,none,yes,3,1,35,1,12,1680,1,good
no checking,delayed previously,business,100<=X<500,1<=X<4,male single,none,life insurance,none,own,unskilled resident,none,yes,2,2,26,2,30,4272,1,good
<0,critical/other existing credit,new car,<100,>=7,male single,none,real estate,none,own,unskilled resident,none,yes,4,4,47,2,8,731,1,good
<0,existing paid,used car,<100,1<=X<4,male single,none,life insurance,none,own,skilled,none,yes,2,2,26,1,36,8229,2,bad
no checking,critical/other existing credit,furniture/equipment,no known savings,1<=X<4,male mar/wid,none,car,none,own,skilled,none,no,2,1,26,2,10,2069,1,good
0<=X<200,critical/other existing credit,furniture/equipment,>=1000,4<=X<7,male single,none,car,none,own,skilled,yes,yes,3,2,32,2,21,2745,1,good
<0,all paid,furniture/equipment,500<=X<1000,<1,male single,none,no known property,none,for free,skilled,yes,yes,4,4,30,1,24,3349,2,bad
no checking,existing paid,furniture/equipment,>=1000,1<=X<4,male div/sep,none,real estate,none,own,skilled,none,yes,4,2,33,1,6,1543,1,good
>=200,existing paid,radio/tv,no known savings,>=7,male single,none,car,none,own,high qualif/self emp/mgmt,none,yes,2,3,37,1,12,3399,1,good
0<=X<200,no credits/all paid,new car,500<=X<1000,<1,female div/dep/mar,none,car,none,own,skilled,none,yes,1,1,30,2,48,8358,1,good
0<=X<200,delayed previously,new car,<100,1<=X<4,female div/dep/mar,none,life insurance,none,rent,skilled,none,yes,2,2,54,1,36,7432,1,good
<0,critical/other existing credit,new car,<100,1<=X<4,male mar/wid,guarantor,life insurance,bank,rent,skilled,none,no,4,2,33,2,20,2235,1,bad
0<=X<200,existing paid,furniture/equipment,<100,1<=X<4,female div/dep/mar,none,real estate,none,own,skilled,none,yes,3,4,24,1,8,1237,1,bad
<0,existing paid,radio/tv,no known savings,4<=X<7,male mar/wid,none,car,none,rent,unskilled resident,none,yes,2,4,23,2,18,1936,1,good
no checking,critical/other existing credit,radio/tv,>=1000,>=7,male single,none,car,none,own,skilled,none,yes,2,2,34,1,24,2578,1,good
no checking,critical/other existing credit,education,no known savings,4<=X<7,female div/dep/mar,none,car,none,own,skilled,none,yes,4,2,61,1,12,2012,1,good
0<=X<200,delayed previously,business,no known savings,1<=X<4,male single,none,no known property,none,for free,skilled,yes,yes,4,4,38,1,48,6681,2,good
>=200,no credits/all paid,radio/tv,<100,<1,male single,none,car,none,own,high qualif/self emp/mgmt,yes,yes,4,2,34,2,9,1337,1,bad
no checking,critical/other existing credit,new car,<100,4<=X<7,male single,none,car,none,own,skilled,yes,yes,4,4,37,2,36,3535,1,good
no checking,delayed previously,used car,<100,1<=X<4,male mar/wid,none,real estate,none,rent,skilled,none,yes,4,4,41,1,12,1503,1,good
no checking,critical/other existing credit,used car,no known savings,>=7,male single,none,car,none,own,skilled,none,yes,1,4,63,2,30,7596,1,good
no checking,existing paid,furniture/equipment,<100,<1,female div/dep/mar,none,life insurance,none,own,skilled,none,yes,1,4,32,1,6,4611,1,bad
0<=X<200,critical/other existing credit,new car,no known savings,>=7,male single,none,real estate,none,own,skilled,none,yes,4,4,36,2,30,2181,1,good
<0,critical/other existing credit,radio/tv,<100,4<=X<7,female div/dep/mar,none,car,none,own,skilled,none,yes,1,4,31,1,6,1957,1,good
0<=X<200,existing paid,business,<100,>=7,male single,co applicant,real estate,bank,own,high qualif/self emp/mgmt,yes,yes,1,1,33,1,18,4439,1,good
no checking,existing paid,used car,100<=X<500,<1,female div/dep/mar,none,car,none,own,skilled,yes,yes,1,4,23,1,15,3812,1,good
<0,existing paid,radio/tv,<100,1<=X<4,male single,none,life insurance,none,own,unskilled resident,none,yes,4,3,24,1,12,2214,1,good
no checking,existing paid,used car,<100,>=7,male single,none,car,none,own,high qualif/self emp/mgmt,yes,yes,4,4,35,1,24,2670,1,good
0<=X<200,no credits/all paid,radio/tv,<100,1<=X<4,female div/dep/mar,none,car,none,own,skilled,yes,yes,4,1,42,1,36,3804,1,bad
no checking,existing paid,used car,no known savings,>=7,male single,none,real estate,none,own,high qualif/self emp/mgmt,yes,yes,4,4,46,1,21,2476,1,good
0<=X<200,critical/other existing credit,new car,100<=X<500,<1,male single,none,car,none,own,skilled,none,yes,4,1,27,1,12,1995,1,good
<0,critical/other existing credit,used car,<100,>=7,female div/dep/mar,none,no known property,none,for free,high qualif/self emp/mgmt,yes,yes,2,4,44,2,24,6419,2,good
no checking,existing paid,radio/tv,no known savings,>=7,male single,none,car,none,own,skilled,none,yes,4,2,35,1,15,1979,1,good
no checking,all paid,used car,no known savings,unemployed,female div/dep/mar,none,real estate,bank,own,high qualif/self emp/mgmt,yes,yes,4,1,53,1,30,7485,1,bad
0<=X<200,existing paid,furniture/equipment,no known savings,1<=X<4,female div/dep/mar,none,life insurance,none,own,unskilled resident,yes,yes,1,4,48,1,24,4351,1,good
no checking,critical/other existing credit,radio/tv,no known savings,1<=X<4,male single,none,real estate,none,own,unskilled resident,none,yes,1,2,34,2,6,1898,2,good
no checking,existing paid,used car,<100,4<=X<7,male single,none,car,none,own,skilled,none,yes,2,2,33,1,15,3029,1,good
no checking,delayed previously,business,<100,1<=X<4,male single,none,no known property,none,for free,skilled,none,yes,1,2,32,1,24,3863,1,good
<0,critical/other existing credit,furniture/equipment,<100,unemployed,male single,none,no known property,none,for free,high qualif/self emp/mgmt,yes,yes,4,4,36,3,6,1872,1,good
0<=X<200,existing paid,radio/tv,<100,1<=X<4,female div/dep/mar,none,real estate,none,own,skilled,none,yes,2,2,22,1,48,5951,1,bad
<0,existing paid,used car,<100,4<=X<7,male single,none,no known property,none,for free,high qualif/self emp/mgmt,yes,yes,2,1,34,1,24,2910,1,good
<0,all paid,furniture/equipment,<100,<1,male div/sep,none,life insurance,bank,own,skilled,yes,yes,2,1,55,1,24,6872,1,bad
no checking,critical/other existing credit,radio/tv,<100,4<=X<7,male single,co applicant,car,none,own,skilled,none,yes,3,2,38,1,30,5954,1,good
0<=X<200,existing paid,new car,<100,1<=X<4,female div/dep/mar,guarantor,no known property,bank,own,skilled,none,yes,4,2,24,1,30,2150,1,bad
>=200,existing paid,new car,100<=X<500,>=7,female div/dep/mar,none,no known property,none,for free,unskilled resident,none,yes,1,4,48,1,10,1240,2,bad
no checking,critical/other existing credit,furniture/equipment,<100,>=7,male single,none,life insurance,stores,own,skilled,none,yes,2,4,42,1,12,3331,1,good
0<=X<200,delayed previously,radio/tv,100<=X<500,4<=X<7,female div/dep/mar,none,life insurance,none,rent,skilled,yes,yes,3,2,23,2,24,1553,1,good
<0,critical/other existing credit,furniture/equipment,<100,1<=X<4,male div/sep,none,real estate,none,rent,high qualif/self emp/mgmt,yes,yes,1,4,44,1,6,3384,1,bad
no checking,existing paid,radio/tv,<100,1<=X<4,male single,none,life insurance,none,own,skilled,yes,no,1,4,38,1,10,1924,1,good
>=200,critical/other existing credit,new car,<100,>=7,male single,none,no known property,none,for free,skilled,yes,yes,4,4,63,2,10,781,1,good
<0,critical/other existing credit,furniture/equipment,no known savings,4<=X<7,male single,none,life insurance,none,own,high qualif/self emp/mgmt,yes,yes,4,4,30,2,39,14179,1,good
<0,critical/other existing credit,new car,<100,1<=X<4,male single,none,real estate,none,rent,skilled,none,yes,1,3,37,3,6,3676,2,good
<0,existing paid,new car,<100,4<=X<7,male single,none,car,none,own,skilled,yes,yes,2,1,24,1,36,9271,1,bad
0<=X<200,delayed previously,radio/tv,no known savings,1<=X<4,male single,none,no known property,none,for free,high qualif/self emp/mgmt,none,yes,2,2,27,1,60,9157,1,good
0<=X<200,delayed previously,other,<100,1<=X<4,male single,none,car,bank,own,skilled,yes,yes,2,3,29,2,20,2629,1,good
no checking,existing paid,used car,<100,1<=X<4,female div/dep/mar,none,life insurance,bank,own,skilled,none,yes,1,2,30,1,36,8133,1,good
0<=X<200,existing paid,radio/tv,<100,<1,male single,none,car,stores,own,skilled,none,yes,2,1,22,1,12,1331,1,bad
no checking,existing paid,new car,<100,unemployed,female div/dep/mar,none,real estate,none,own,unemp/unskilled non res,yes,yes,1,4,54,1,6,672,1,good
<0,existing paid,used car,<100,1<=X<4,male div/sep,none,life insurance,none,own,high qualif/self emp/mgmt,yes,yes,4,4,40,1,30,3857,1,good
no checking,delayed previously,furniture/equipment,<100,4<=X<7,female div/dep/mar,none,real estate,none,own,skilled,none,yes,4,1,22,1,18,1808,1,bad
no checking,existing paid,business,no known savings,>=7,male single,none,life insurance,none,own,skilled,none,yes,3,2,37,2,36,7409,1,good
no checking,existing paid,new car,500<=X<1000,1<=X<4,female div/dep/mar,none,life insurance,none,own,skilled,none,yes,2,2,26,1,12,1386,1,bad
no checking,delayed previously,radio/tv,no known savings,>=7,male single,none,car,bank,own,skilled,none,yes,3,3,32,2,48,7238,2,good
0<=X<200,existing paid,radio/tv,<100,1<=X<4,female div/dep/mar,guarantor,real estate,none,own,unskilled resident,none,yes,4,4,26,1,18,1113,2,good
<0,critical/other existing credit,furniture/equipment,<100,1<=X<4,male mar/wid,none,life insurance,none,own,skilled,yes,yes,3,2,46,2,36,2348,1,good
<0,critical/other existing credit,new car,<100,>=7,female div/dep/mar,none,no known property,none,own,skilled,yes,yes,1,4,39,2,6,860,1,good
no checking,existing paid,radio/tv,<100,4<=X<7,male single,none,car,none,own,skilled,none,yes,4,2,22,1,9,1478,1,bad
0<=X<200,existing paid,furniture/equipment,<100,1<=X<4,female div/dep/mar,none,life insurance,none,own,skilled,none,yes,4,1,30,1,9,918,1,bad
no checking,existing paid,radio/tv,<100,<1,male mar/wid,none,real estate,none,own,skilled,yes,yes,3,4,39,1,18,1473,1,good
0<=X<200,delayed previously,business,100<=X<500,4<=X<7,male single,none,car,none,rent,high qualif/self emp/mgmt,yes,yes,4,4,36,1,24,6967,1,good
<0,delayed previously,business,<100,4<=X<7,male single,none,car,none,own,skilled,yes,yes,2,1,24,2,36,2145,1,bad
no checking,existing paid,radio/tv,<100,1<=X<4,male single,none,car,none,own,skilled,yes,yes,2,4,52,1,12,3077,1,good
<0,existing paid,furniture/equipment,no known savings,>=7,male div/sep,none,life insurance,none,own,unskilled resident,yes,yes,2,4,49,1,12,1262,1,good
0<=X<200,existing paid,radio/tv,no known savings,>=7,female div/dep/mar,none,car,none,own,skilled,none,yes,2,4,25,1,30,2991,1,good
<0,existing paid,used car,no known savings,>=7,male single,none,no known property,bank,for free,skilled,yes,yes,4,4,49,1,24,2964,2,good
no checking,critical/other existing credit,repairs,<100,1<=X<4,male div/sep,none,real estate,none,own,skilled,yes,yes,4,2,33,2,24,2058,1,good
0<=X<200,existing paid,radio/tv,<100,>=7,female div/dep/mar,none,real estate,none,own,skilled,none,yes,4,4,25,1,9,1206,1,good
<0,existing paid,education,<100,4<=X<7,male single,none,no known property,none,for free,high qualif/self emp/mgmt,yes,yes,4,1,50,1,48,7476,1,good
no checking,existing paid,used car,no known savings,<1,male mar/wid,none,car,none,rent,skilled,yes,yes,2,4,26,1,12,2445,1,good
no checking,existing paid,new car,<100,1<=X<4,male single,none,real estate,none,own,unskilled resident,none,no,3,2,31,1,10,1546,2,good
no checking,critical/other existing credit,furniture/equipment,<100,1<=X<4,female div/dep/mar,none,no known property,none,own,skilled,none,yes,4,2,28,2,18,1817,1,good
no checking,existing paid,furniture/equipment,no known savings,4<=X<7,male single,none,car,stores,own,skilled,yes,yes,4,2,31,1,24,929,1,good
<0,existing paid,other,<100,unemployed,male div/sep,co applicant,car,none,own,high qualif/self emp/mgmt,none,yes,2,3,43,1,36,15857,1,good
no checking,no credits/all paid,new car,no known savings,1<=X<4,female div/dep/mar,none,life insurance,bank,own,skilled,yes,yes,1,4,29,2,21,5003,1,bad
0<=X<200,delayed previously,business,no known savings,>=7,male single,none,life insurance,none,own,skilled,none,yes,4,2,42,2,18,2427,1,good
0<=X<200,existing paid,business,>=1000,1<=X<4,male single,none,life insurance,none,own,unskilled resident,yes,yes,4,2,35,1,18,1941,1,good
<0,existing paid,used car,no known savings,>=7,male single,none,life insurance,none,for free,skilled,yes,yes,1,4,51,1,18,7511,2,bad
0<=X<200,existing paid,new car,<100,>=7,male single,none,no known property,none,for free,high qualif/self emp/mgmt,yes,yes,4,2,57,1,36,14318,1,bad
no checking,existing paid,radio/tv,100<=X<500,4<=X<7,female div/dep/mar,none,real estate,none,own,skilled,yes,yes,2,4,21,1,60,10144,1,good
<0,critical/other existing credit,radio/tv,500<=X<1000,>=7,male single,none,car,none,own,skilled,none,yes,4,4,52,2,6,338,1,good
no checking,delayed previously,used car,<100,1<=X<4,male single,none,real estate,stores,own,unskilled resident,none,yes,3,2,28,2,21,2993,1,good
0<=X<200,delayed previously,radio/tv,100<=X<500,<1,male single,none,no known property,stores,own,high qualif/self emp/mgmt,none,yes,4,3,30,2,30,1919,1,bad
<0,existing paid,radio/tv,>=1000,<1,female div/dep/mar,none,car,bank,own,skilled,none,yes,4,2,29,1,21,3357,1,good
0<=X<200,existing paid,radio/tv,>=1000,4<=X<7,male single,co applicant,no known property,bank,own,skilled,yes,yes,1,2,27,2,48,10961,1,bad
<0,critical/other existing credit,new car,<100,>=7,male single,none,life insurance,none,own,skilled,none,yes,4,3,35,2,12,691,1,bad
no checking,critical/other existing credit,furniture/equipment,<100,<1,female div/dep/mar,none,life insurance,none,own,skilled,yes,yes,4,4,23,1,21,2288,1,good
0<=X<200,existing paid,business,>=1000,<1,male mar/wid,none,real estate,bank,own,skilled,yes,yes,3,3,36,1,18,1913,1,good
no checking,existing paid,new car,<100,>=7,male single,none,car,none,own,high qualif/self emp/mgmt,yes,yes,4,4,39,1,12,1884,1,good
<0,existing paid,furniture/equipment,<100,>=7,female div/dep/mar,none,life insurance,none,rent,skilled,none,yes,4,4,24,1,12,652,1,good
no checking,delayed previously,radio/tv,<100,1<=X<4,male single,none,car,none,own,high qualif/self emp/mgmt,yes,yes,4,2,26,2,36,4463,1,bad
<0,existing paid,new car,no known savings,>=7,female div/dep/mar,none,car,bank,own,skilled,none,yes,4,2,29,1,24,915,1,bad
no checking,existing paid,new car,no known savings,1<=X<4,male single,none,car,none,rent,skilled,none,yes,2,4,68,2,18,6761,1,bad
<0,existing paid,furniture/equipment,<100,<1,male single,co applicant,life insurance,none,own,unskilled resident,none,no,4,1,24,1,24,1747,1,good
no checking,existing paid,furniture/equipment,<100,1<=X<4,male single,none,real estate,none,rent,unskilled resident,none,yes,3,2,24,1,12,1768,1,good
no checking,existing paid,retraining,<100,<1,male mar/wid,none,car,none,own,unskilled resident,none,yes,4,3,27,2,24,937,1,good
0<=X<200,existing paid,new car,100<=X<500,<1,female div/dep/mar,none,life insurance,bank,own,unskilled resident,none,yes,4,2,23,1,12,836,1,bad
no checking,existing paid,furniture/equipment,100<=X<500,<1,female div/dep/mar,none,life insurance,none,rent,skilled,none,yes,2,4,22,1,9,2301,1,good
0<=X<200,existing paid,business,<100,1<=X<4,male single,none,car,none,own,skilled,yes,yes,4,2,36,1,27,3915,2,bad
no checking,existing paid,new car,no known savings,>=7,male single,co applicant,life insurance,none,own,unskilled resident,none,no,4,2,45,1,10,1287,1,good
no checking,existing paid,radio/tv,<100,1<=X<4,male mar/wid,none,life insurance,none,own,skilled,none,yes,4,2,28,1,24,1413,1,good
<0,existing paid,new car,100<=X<500,4<=X<7,male single,none,car,none,own,high qualif/self emp/mgmt,yes,yes,4,3,30,1,18,2249,2,good
0<=X<200,existing paid,furniture/equipment,<100,4<=X<7,female div/dep/mar,none,real estate,none,rent,skilled,none,yes,2,4,40,1,18,3001,1,good
<0,critical/other existing credit,radio/tv,<100,4<=X<7,female div/dep/mar,none,real estate,none,own,unskilled resident,yes,yes,4,3,58,4,12,385,1,good
no checking,critical/other existing credit,new car,<100,>=7,male single,none,real estate,none,own,unskilled resident,none,yes,4,1,38,2,12,1495,2,good
0<=X<200,existing paid,used car,no known savings,unemployed,male div/sep,none,real estate,none,own,high qualif/self emp/mgmt,yes,yes,1,4,60,1,20,6468,1,good
0<=X<200,existing paid,radio/tv,no known savings,<1,male single,none,life insurance,none,own,skilled,none,yes,4,1,23,1,15,1444,1,good
no checking,existing paid,furniture/equipment,<100,<1,male mar/wid,co applicant,life insurance,none,own,unskilled resident,none,yes,4,1,43,1,18,1533,2,bad
0<=X<200,delayed previously,new car,<100,>=7,male single,none,no known property,bank,for free,skilled,yes,yes,4,4,57,2,36,2225,1,bad
<0,delayed previously,new car,<100,unemployed,male single,none,real estate,none,for free,skilled,none,yes,4,2,43,2,24,1333,2,bad
no checking,existing paid,radio/tv,<100,<1,female div/dep/mar,none,car,bank,own,skilled,none,yes,2,2,29,1,12,2171,1,good
<0,critical/other existing credit,furniture/equipment,no known savings,<1,female div/dep/mar,co applicant,real estate,none,rent,skilled,none,no,2,3,27,2,10,2132,1,good
>=200,existing paid,radio/tv,<100,1<=X<4,male single,none,car,none,own,skilled,none,yes,4,1,24,1,36,5848,1,good
0<=X<200,existing paid,new car,100<=X<500,1<=X<4,male single,none,car,none,own,skilled,yes,yes,2,2,30,2,18,5866,1,good
no checking,existing paid,repairs,<100,<1,female div/dep/mar,none,real estate,none,own,skilled,none,yes,4,4,23,1,18,1943,1,bad
0<=X<200,critical/other existing credit,radio/tv,no known savings,>=7,male single,guarantor,real estate,none,own,skilled,yes,yes,4,4,50,2,15,1537,1,good
no checking,all paid,business,<100,1<=X<4,female div/dep/mar,none,real estate,stores,own,skilled,none,yes,1,1,27,1,48,3609,1,good
<0,existing paid,furniture/equipment,<100,1<=X<4,male single,co applicant,car,none,own,skilled,none,yes,2,3,42,1,18,4153,1,bad
no checking,critical/other existing credit,furniture/equipment,<100,4<=X<7,female div/dep/mar,co applicant,car,bank,own,skilled,none,yes,2,3,24,2,15,2788,1,good
0<=X<200,existing paid,radio/tv,<100,4<=X<7,female div/dep/mar,guarantor,real estate,none,own,unskilled resident,none,yes,4,2,44,1,8,760,1,good
0<=X<200,delayed previously,furniture/equipment,<100,>=7,male div/sep,none,no known property,none,own,high qualif/self emp/mgmt,yes,yes,4,3,40,1,18,4297,1,bad
no checking,existing paid,new car,100<=X<500,<1,male mar/wid,none,real estate,none,own,skilled,yes,yes,4,3,33,1,24,1474,1,good
<0,critical/other existing credit,business,<100,>=7,male single,none,car,stores,own,high qualif/self emp/mgmt,yes,yes,4,4,43,4,27,2442,2,good
0<=X<200,critical/other existing credit,furniture/equipment,<100,4<=X<7,male single,none,life insurance,none,own,skilled,none,yes,2,2,49,1,30,8386,1,bad
no checking,existing paid,furniture/equipment,<100,1<=X<4,male single,none,no known property,bank,for free,skilled,none,yes,4,4,47,2,18,1984,1,good
no checking,existing paid,business,no known savings,1<=X<4,male div/sep,none,real estate,bank,own,skilled,none,yes,4,2,38,1,48,3914,1,bad
0<=X<200,critical/other existing credit,used car,>=1000,>=7,female div/dep/mar,none,no known property,none,rent,skilled,none,yes,2,4,29,1,24,7758,1,good
no checking,existing paid,radio/tv,no known savings,<1,female div/dep/mar,none,car,none,own,skilled,yes,yes,1,1,44,2,24,5943,1,bad
<0,existing paid,retraining,<100,4<=X<7,male mar/wid,none,life insurance,none,rent,skilled,none,yes,4,4,21,1,12,902,1,bad
no checking,critical/other existing credit,radio/tv,<100,1<=X<4,female div/dep/mar,none,car,stores,own,skilled,none,yes,2,2,31,2,36,9566,1,good
0<=X<200,existing paid,radio/tv,<100,<1,female div/dep/mar,guarantor,real estate,none,own,skilled,none,yes,1,1,45,1,7,2329,1,good
>=200,existing paid,new car,no known savings,<1,male single,none,real estate,none,own,unskilled resident,none,no,1,2,29,1,4,1494,2,good
no checking,delayed previously,business,500<=X<1000,<1,male single,none,real estate,bank,own,unskilled resident,none,yes,4,2,41,1,21,2580,2,bad
no checking,existing paid,new car,no known savings,1<=X<4,male single,none,no known property,none,own,skilled,none,yes,3,2,29,1,15,3556,1,good
0<=X<200,existing paid,furniture/equipment,<100,1<=X<4,female div/dep/mar,none,car,none,own,skilled,none,no,1,2,29,1,9,959,1,bad
0<=X<200,delayed previously,radio/tv,<100,1<=X<4,male mar/wid,co applicant,real estate,none,rent,skilled,none,yes,4,4,20,2,12,585,1,good
0<=X<200,existing paid,new car,100<=X<500,4<=X<7,male single,none,car,bank,own,skilled,yes,yes,2,3,38,2,24,3512,1,good
no checking,critical/other existing credit,business,no known savings,>=7,male div/sep,none,car,bank,own,high qualif/self emp/mgmt,none,yes,4,2,46,2,48,7629,2,good
0<=X<200,existing paid,new car,<100,>=7,male div/sep,none,real estate,none,rent,skilled,none,yes,1,1,46,2,12,1223,1,bad
<0,existing paid,furniture/equipment,<100,1<=X<4,male single,guarantor,life insurance,none,own,unskilled resident,none,yes,2,3,38,1,12,708,2,good
no checking,existing paid,education,500<=X<1000,>=7,male single,none,no known property,none,for free,skilled,yes,yes,4,4,46,1,10,727,1,good
<0,existing paid,radio/tv,<100,<1,male mar/wid,none,real estate,none,own,skilled,none,no,4,2,27,1,15,1053,1,good
no checking,existing paid,new car,no known savings,<1,male single,none,life insurance,none,own,skilled,none,yes,4,1,54,1,24,2255,1,good
0<=X<200,all paid,domestic appliance,no known savings,<1,female div/dep/mar,none,no known property,bank,own,unemp/unskilled non res,none,yes,3,2,29,1,36,3990,1,good
no checking,existing paid,radio/tv,<100,4<=X<7,male single,none,car,none,rent,high qualif/self emp/mgmt,yes,yes,4,2,31,2,12,1963,2,good
no checking,existing paid,used car,no known savings,>=7,male single,none,car,none,own,high qualif/self emp/mgmt,yes,yes,3,4,41,1,24,6313,2,good
no checking,critical/other existing credit,radio/tv,no known savings,1<=X<4,male single,none,real estate,none,own,skilled,none,yes,1,2,33,2,9,3074,2,good
<0,existing paid,radio/tv,<100,1<=X<4,female div/dep/mar,none,car,bank,rent,skilled,none,yes,4,4,25,2,18,1882,1,bad
no checking,no credits/all paid,business,<100,1<=X<4,male single,none,car,stores,own,skilled,none,yes,2,2,36,2,18,4165,2,bad
no checking,critical/other existing credit,furniture/equipment,no known savings,>=7,male single,none,life insurance,none,rent,skilled,yes,yes,2,4,49,1,12,5801,1,good
no checking,existing paid,radio/tv,<100,unemployed,female div/dep/mar,co applicant,real estate,none,rent,skilled,none,yes,3,4,22,1,18,433,1,bad
no checking,existing paid,radio/tv,no known savings,1<=X<4,female div/dep/mar,none,car,none,own,skilled,none,yes,4,4,25,1,36,2394,1,good
0<=X<200,existing paid,business,<100,<1,male mar/wid,none,real estate,none,own,skilled,yes,yes,3,2,26,1,8,907,1,good
0<=X<200,existing paid,business,<100,<1,female div/dep/mar,none,life insurance,none,own,skilled,yes,yes,4,1,32,1,27,2528,2,good
>=200,existing paid,new car,<100,>=7,female div/dep/mar,none,car,none,own,high qualif/self emp/mgmt,none,yes,3,2,23,1,18,1961,1,good
0<=X<200,existing paid,repairs,<100,>=7,male single,none,car,none,own,unskilled resident,none,yes,4,4,38,2,15,1308,1,good
no checking,critical/other existing credit,radio/tv,no known savings,>=7,male single,none,no known property,none,for free,skilled,none,yes,4,4,36,2,6,700,1,good
0<=X<200,critical/other existing credit,business,no known savings,4<=X<7,male single,none,no known property,none,own,skilled,yes,yes,4,3,34,2,24,2825,2,good
0<=X<200,existing paid,radio/tv,<100,1<=X<4,male single,guarantor,real estate,none,own,skilled,none,no,4,2,33,1,8,1414,1,good
<0,existing paid,furniture/equipment,<100,1<=X<4,male single,guarantor,life insurance,none,own,unskilled resident,none,yes,4,1,21,1,12,1289,1,good
0<=X<200,existing paid,radio/tv,500<=X<1000,1<=X<4,female div/dep/mar,none,real estate,none,own,unskilled resident,none,yes,4,3,66,1,9,790,1,good
<0,existing paid,furniture/equipment,<100,1<=X<4,male single,guarantor,life insurance,none,own,skilled,none,yes,1,2,37,1,36,3620,2,good
<0,existing paid,new car,no known savings,1<=X<4,female div/dep/mar,none,life insurance,none,own,skilled,none,yes,4,2,35,1,24,1381,1,bad
no checking,existing paid,furniture/equipment,<100,>=7,male single,none,car,none,own,skilled,none,yes,1,4,20,1,9,1313,1,good
0<=X<200,existing paid,radio/tv,no known savings,1<=X<4,male mar/wid,none,real estate,none,own,skilled,yes,yes,2,1,25,1,12,1484,1,bad
<0,existing paid,furniture/equipment,<100,<1,female div/dep/mar,none,car,none,rent,skilled,none,yes,4,1,22,1,12,1858,1,good
no checking,critical/other existing credit,radio/tv,no known savings,>=7,male single,none,real estate,none,own,skilled,none,yes,4,4,65,4,12,930,1,good
no checking,existing paid,new car,no known savings,<1,male single,none,life insurance,none,own,high qualif/self emp/mgmt,yes,yes,2,3,45,1,12,3527,2,good
0<=X<200,existing paid,radio/tv,<100,<1,male mar/wid,guarantor,real estate,bank,own,unskilled resident,none,yes,4,1,26,1,12,625,1,good
<0,existing paid,education,<100,<1,female div/dep/mar,none,life insurance,none,own,skilled,none,yes,4,4,53,1,12,795,1,bad
no checking,existing paid,radio/tv,<100,>=7,male single,none,real estate,none,own,high qualif/self emp/mgmt,yes,yes,4,1,36,1,24,1278,1,good
>=200,critical/other existing credit,radio/tv,no known savings,>=7,male single,none,life insurance,stores,own,unskilled resident,none,yes,4,4,49,2,30,3656,1,good
<0,existing paid,radio/tv,100<=X<500,4<=X<7,male mar/wid,none,life insurance,none,own,skilled,none,yes,4,1,20,1,12,674,1,bad
no checking,all paid,radio/tv,100<=X<500,>=7,male single,none,car,bank,own,unskilled resident,none,yes,4,4,34,1,15,1569,2,good
>=200,existing paid,new car,>=1000,<1,male mar/wid,none,real estate,none,own,unemp/unskilled non res,none,no,2,2,27,1,6,709,1,good
